동,호,타입,대지비,건축비,부가가치세,분양가,1차계약금,1차계약금,중도금1회,중도금2회,중도금3회,중도금4회,중도금5회,중도금6회,잔금
101,2302,84B,"180,728,000","329,372,000",0,"510,100,000","10,000,000","41,010,000","51,010,000","51,010,000","51,010,000","51,010,000","51,010,000","51,010,000","153,030,000"
101,2402,84B,"180,728,000","329,372,000",0,"510,100,000","10,000,000","41,010,000","51,010,000","51,010,000","51,010,000","51,010,000","51,010,000","51,010,000","153,030,000"
101,2502,84B,"180,728,000","329,372,000",0,"510,100,000","10,000,000","41,010,000","51,010,000","51,010,000","51,010,000","51,010,000","51,010,000","51,010,000","153,030,000"
101,2602,84B,"182,004,000","331,696,000",0,"513,700,000","10,000,000","41,370,000","51,370,000","51,370,000","51,370,000","51,370,000","51,370,000","51,370,000","154,110,000"
101,2702,84B,"182,004,000","331,696,000",0,"513,700,000","10,000,000","41,370,000","51,370,000","51,370,000","51,370,000","51,370,000","51,370,000","51,370,000","154,110,000"
101,2802,84B,"182,004,000","331,696,000",0,"513,700,000","10,000,000","41,370,000","51,370,000","51,370,000","51,370,000","51,370,000","51,370,000","51,370,000","154,110,000"
101,2902,84B,"182,004,000","331,696,000",0,"513,700,000","10,000,000","41,370,000","51,370,000","51,370,000","51,370,000","51,370,000","51,370,000","51,370,000","154,110,000"
101,3002,84B,"182,004,000","331,696,000",0,"513,700,000","10,000,000","41,370,000","51,370,000","51,370,000","51,370,000","51,370,000","51,370,000","51,370,000","154,110,000"
101,3102,84B,"182,004,000","331,696,000",0,"513,700,000","10,000,000","41,370,000","51,370,000","51,370,000","51,370,000","51,370,000","51,370,000","51,370,000","154,110,000"
101,3202,84B,"182,004,000","331,696,000",0,"513,700,000","10,000,000","41,370,000","51,370,000","51,370,000","51,370,000","51,370,000","51,370,000","51,370,000","154,110,000"
101,3302,84B,"182,004,000","331,696,000",0,"513,700,000","10,000,000","41,370,000","51,370,000","51,370,000","51,370,000","51,370,000","51,370,000","51,370,000","154,110,000"
101,203,84A,,,,,,,,,,,,,
101,303,84A,,,,,,,,,,,,,
101,403,84A,,,,,,,,,,,,,
101,503,84A,"173,607,000","316,393,000",0,"490,000,000","10,000,000","39,000,000","49,000,000","49,000,000","49,000,000","49,000,000","49,000,000","49,000,000","147,000,000"
101,603,84A,"177,256,000","323,044,000",0,"500,300,000","10,000,000","40,030,000","50,030,000","50,030,000","50,030,000","50,030,000","50,030,000","50,030,000","150,090,000"
101,703,84A,"177,256,000","323,044,000",0,"500,300,000","10,000,000","40,030,000","50,030,000","50,030,000","50,030,000","50,030,000","50,030,000","50,030,000","150,090,000"
101,803,84A,"177,256,000","323,044,000",0,"500,300,000","10,000,000","40,030,000","50,030,000","50,030,000","50,030,000","50,030,000","50,030,000","50,030,000","150,090,000"
101,903,84A,"177,256,000","323,044,000",0,"500,300,000","10,000,000","40,030,000","50,030,000","50,030,000","50,030,000","50,030,000","50,030,000","50,030,000","150,090,000"
101,1003,84A,"180,870,000","329,630,000",0,"510,500,000","10,000,000","41,050,000","51,050,000","51,050,000","51,050,000","51,050,000","51,050,000","51,050,000","153,150,000"
101,1103,84A,"180,870,000","329,630,000",0,"510,500,000","10,000,000","41,050,000","51,050,000","51,050,000","51,050,000","51,050,000","51,050,000","51,050,000","153,150,000"
101,1203,84A,"180,870,000","329,630,000",0,"510,500,000","10,000,000","41,050,000","51,050,000","51,050,000","51,050,000","51,050,000","51,050,000","51,050,000","153,150,000"
101,1303,84A,"180,870,000","329,630,000",0,"510,500,000","10,000,000","41,050,000","51,050,000","51,050,000","51,050,000","51,050,000","51,050,000","51,050,000","153,150,000"
101,1403,84A,"180,870,000","329,630,000",0,"510,500,000","10,000,000","41,050,000","51,050,000","51,050,000","51,050,000","51,050,000","51,050,000","51,050,000","153,150,000"
101,1503,84A,"180,870,000","329,630,000",0,"510,500,000","10,000,000","41,050,000","51,050,000","51,050,000","51,050,000","51,050,000","51,050,000","51,050,000","153,150,000"
101,1603,84A,"180,870,000","329,630,000",0,"510,500,000","10,000,000","41,050,000","51,050,000","51,050,000","51,050,000","51,050,000","51,050,000","51,050,000","153,150,000"
101,1703,84A,"180,870,000","329,630,000",0,"510,500,000","10,000,000","41,050,000","51,050,000","51,050,000","51,050,000","51,050,000","51,050,000","51,050,000","153,150,000"
101,1803,84A,"180,870,000","329,630,000",0,"510,500,000","10,000,000","41,050,000","51,050,000","51,050,000","51,050,000","51,050,000","51,050,000","51,050,000","153,150,000"
101,1903,84A,"180,870,000","329,630,000",0,"510,500,000","10,000,000","41,050,000","51,050,000","51,050,000","51,050,000","51,050,000","51,050,000","51,050,000","153,150,000"
101,2003,84A,"183,209,000","333,891,000",0,"517,100,000","10,000,000","41,710,000","51,710,000","51,710,000","51,710,000","51,710,000","51,710,000","51,710,000","155,130,000"
101,2103,84A,"183,209,000","333,891,000",0,"517,100,000","10,000,000","41,710,000","51,710,000","51,710,000","51,710,000","51,710,000","51,710,000","51,710,000","155,130,000"
101,2203,84A,"183,209,000","333,891,000",0,"517,100,000","10,000,000","41,710,000","51,710,000","51,710,000","51,710,000","51,710,000","51,710,000","51,710,000","155,130,000"
101,2303,84A,"183,209,000","333,891,000",0,"517,100,000","10,000,000","41,710,000","51,710,000","51,710,000","51,710,000","51,710,000","51,710,000","51,710,000","155,130,000"
101,2403,84A,"183,209,000","333,891,000",0,"517,100,000","10,000,000","41,710,000","51,710,000","51,710,000","51,710,000","51,710,000","51,710,000","51,710,000","155,130,000"
101,2503,84A,"183,209,000","333,891,000",0,"517,100,000","10,000,000","41,710,000","51,710,000","51,710,000","51,710,000","51,710,000","51,710,000","51,710,000","155,130,000"
101,2603,84A,"184,484,000","336,216,000",0,"520,700,000","10,000,000","42,070,000","52,070,000","52,070,000","52,070,000","52,070,000","52,070,000","52,070,000","156,210,000"
101,2703,84A,"184,484,000","336,216,000",0,"520,700,000","10,000,000","42,070,000","52,070,000","52,070,000","52,070,000","52,070,000","52,070,000","52,070,000","156,210,000"
